release_year,album,title,lyrics
1961,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Hard Times In New York Town,"come you ladies and you gentlemen, a-listen to my song

sing it to you right, but you might think it’s wrong

just a little glimpse of a story i’ll tell

’bout an east coast city that you all know well

it’s hard times in the city

livin’ down in new york town



old new york city is a friendly old town

from washington heights to harlem on down

there’s a-mighty many people all millin’ all around

they’ll kick you when you’re up and knock you when you’re down

it’s hard times in the city

livin’ down in new york town



it’s a mighty long ways from the golden gate

to rockefeller plaza ’n’ the empire state.

mister rockefeller sets up as high as a bird

old mister empire never says a word

it’s hard times from the country

livin’ down in new york town



well, it’s up in the mornin’ tryin’ to find a job of work

stand in one place till your feet begin to hurt

if you got a lot o’ money you can make yourself merry

if you only got a nickel, it’s the staten island ferry

and it’s hard times in the city

livin’ down in new york town



mister hudson come a-sailin’ down the stream

and old mister minuet paid for his dream

bought your city on a one-way track

’f i had my way i’d sell it right back

and it’s hard times in the city

livin’ down in new york town



i’ll take all the smog in cal-i-for-ne-ay

’n’ every bit of dust in the oklahoma plains

’n’ the dirt in the caves of the rocky mountain mines

it’s all much cleaner than the new york kind

and it’s hard times in the city

livin’ down in new york town



so all you newsy people, spread the news around

you c’n listen to m’ story, listen to m’ song

you c’n step on my name, you c’n try ’n’ get me beat

when i leave new york, i’ll be standin’ on my feet

and it’s hard times in the city

livin’ down in new york town"
1961,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Man on the street,"’ll sing you a song, ain’t very long

’bout an old man who never done wrong

how he died nobody can say

they found him dead in the street one day



well, the crowd, they gathered one fine morn

at the man whose clothes ’n’ shoes were torn

there on the sidewalk he did lay

they stopped ’n’ stared ’n’ walked their way



well, the p’liceman come and he looked around

“get up, old man, or i’m a-takin’ you down”

he jabbed him once with his billy club

and the old man then rolled off the curb



well, he jabbed him again and loudly said

“call the wagon; this man is dead”

the wagon come, they loaded him in

i never saw the man again



i’ve sung you my song, it ain’t very long

’bout an old man who never done wrong

how he died no one can say

they found him dead in the street one day"
1962,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Talkin’ Bear Mountain Picnic Massacre Blues,"i saw it advertised one day

bear mountain picnic was comin’ my way

“come along ’n’ take a trip

we’ll bring you up there on a ship

bring the wife and kids

bring the whole family”

yippee



well, i run right down ’n’ bought a ticket

to this bear mountain picnic

but little did i realize

i was in for a picnic surprise

had nothin’ to do with mountains

i didn’t even come close to a bear



took the wife ’n’ kids down to the pier

six thousand people there

everybody had a ticket for the trip

“oh well,” i said, “it’s a pretty big ship

besides, anyway, the more the merrier”



well, we all got on ’n’ what d’ya think

that big old boat started t’ sink

more people kept a-pilin’ on

that old ship was a-slowly goin’ down

funny way t’ start a picnic



well, i soon lost track of m’ kids ’n’ wife

so many people there i never saw in m’ life

that old ship sinkin’ down in the water

six thousand people tryin’ t’ kill each other

dogs a-barkin’, cats a-meowin’

women screamin’, fists a-flyin’, babies cryin’

cops a-comin’, me a-runnin’

maybe we just better call off the picnic



i got shoved down ’n’ pushed around

all i could hear there was a screamin’ sound

don’t remember one thing more

just remember wakin’ up on a little shore

head busted, stomach cracked

feet splintered, i was bald, naked . . .

quite lucky to be alive though



feelin’ like i climbed outa m’ casket

i grabbed back hold of m’ picnic basket

took the wife ’n’ kids ’n’ started home

wishin’ i’d never got up that morn



now, i don’t care just what you do

if you wanta have a picnic, that’s up t’ you

but don’t tell me about it, i don’t wanta hear it

’cause, see, i just lost all m’ picnic spirit

stay in m’ kitchen, have m’ own picnic . . .

in the bathroom



now, it don’t seem to me quite so funny

what some people are gonna do f’r money

there’s a bran’ new gimmick every day

just t’ take somebody’s money away

i think we oughta take some o’ these people

and put ’em on a boat, send ’em up to bear mountain . . .

for a picnic"
1962,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Let Me Die in My Footsteps,"i will not go down under the ground

’cause somebody tells me that death’s comin’ ’round

an’ i will not carry myself down to die

when i go to my grave my head will be high

let me die in my footsteps

before i go down under the ground



there’s been rumors of war and wars that have been

the meaning of life has been lost in the wind

and some people thinkin’ that the end is close by

’stead of learnin’ to live they are learnin’ to die

let me die in my footsteps

before i go down under the ground



i don’t know if i’m smart but i think i can see

when someone is pullin’ the wool over me

and if this war comes and death’s all around

let me die on this land ’fore i die underground

let me die in my footsteps

before i go down under the ground



there’s always been people that have to cause fear

they’ve been talking of the war now for many long years

i have read all their statements and i’ve not said a word

but now lawd god, let my poor voice be heard

let me die in my footsteps

before i go down under the ground



if i had rubies and riches and crowns

i’d buy the whole world and change things around

i’d throw all the guns and the tanks in the sea

for they are mistakes of a past history

let me die in my footsteps

before i go down under the ground



let me drink from the waters where the mountain streams flood

let the smell of wildflowers flow free through my blood

let me sleep in your meadows with the green grassy leaves

let me walk down the highway with my brother in peace

let me die in my footsteps

before i go down under the ground



go out in your country where the land meets the sun

see the craters and the canyons where the waterfalls run

nevada, new mexico, arizona, idaho

let every state in this union seep down deep in your souls

and you’ll die in your footsteps

before you go down under the ground"
1962,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991","Rambling, Gambling Willie","come around you rovin’ gamblers and a story i will tell

about the greatest gambler, you all should know him well

his name was will o’conley and he gambled all his life

he had twenty-seven children, yet he never had a wife

and it’s ride, willie, ride

roll, willie, roll

wherever you are a-gamblin’ now, nobody really knows



he gambled in the white house and in the railroad yards

wherever there was people, there was willie and his cards

he had the reputation as the gamblin’est man around

wives would keep their husbands home when willie came to town

and it’s ride, willie, ride

roll, willie, roll

wherever you are a-gamblin’ now, nobody really knows



sailin’ down the mississippi to a town called new orleans

they’re still talkin’ about their card game on that jackson river queen

“i’ve come to win some money,” gamblin’ willie says

when the game finally ended up, the whole damn boat was his

and it’s ride, willie, ride

roll, willie, roll

wherever you are a-gamblin’ now, nobody really knows



up in the rocky mountains in a town called cripple creek

there was an all-night poker game, lasted about a week

nine hundred miners had laid their money down

when willie finally left the room, he owned the whole damn town

and it’s ride, willie, ride

roll, willie, roll

wherever you are a-gamblin’ now, nobody really knows



but willie had a heart of gold and this i know is true

he supported all his children and all their mothers too

he wore no rings or fancy things, like other gamblers wore

he spread his money far and wide, to help the sick and the poor

and it’s ride, willie, ride

roll, willie, roll

wherever you are a-gamblin’ now, nobody really knows



when you played your cards with willie, you never really knew

whether he was bluffin’ or whether he was true

he won a fortune from a man who folded in his chair

the man, he left a diamond flush, willie didn’t even have a pair

and it’s ride, willie, ride

roll, willie, roll

wherever you are a-gamblin’ now, nobody really knows



it was late one evenin’ during a poker game

a man lost all his money, he said willie was to blame

he shot poor willie through the head, which was a tragic fate

when willie’s cards fell on the floor, they were aces backed with eights

and it’s ride, willie, ride

roll, willie, roll

wherever you are a-gamblin’ now, nobody really knows



so all you rovin’ gamblers, wherever you might be

the moral of the story is very plain to see

make your money while you can, before you have to stop

for when you pull that dead man’s hand, your gamblin’ days are up

and it’s ride, willie, ride

roll, willie, roll

wherever you are a-gamblin’ now, nobody really knows"
1962,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Talkin’ Hava Negeilah Blues,"here's a foreign song i learned in utah

ha-va-ne-gei-lah

o-de-ley-e-e-oo-"
1962,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Quit Your Low Down Ways,"oh, you can read out your bible

you can fall down on your knees, pretty mama

and pray to the lord

but it ain’t gonna do no good.



you’re gonna need

you’re gonna need my help someday

well, if you can’t quit your sinnin’

please quit your low down ways



well, you can run down to the white house

you can gaze at the capitol dome, pretty mama

you can pound on the president’s gate

but you oughta know by now it’s gonna be too late



you’re gonna need

you’re gonna need my help someday

well, if you can’t quit your sinnin’

please quit your low down ways



well, you can run down to the desert

throw yourself on the burning sand

you can raise up your right hand, pretty mama

but you better understand you done lost your one good man



you’re gonna need

you’re gonna need my help someday

well, if you can’t quit your sinnin’

please quit your low down ways



and you can hitchhike on the highway

you can stand all alone by the side of the road

you can try to flag a ride back home, pretty mama

but you can’t ride in my car no more



you’re gonna need

you’re gonna need my help someday

well, if you can’t quit your sinnin’

please quit your low down ways



oh, you can read out your bible

you can fall down on your knees, pretty mama

and pray to the lord

but it ain’t gonna do no good



you’re gonna need

you’re gonna need my help someday

well, if you can’t quit your sinnin’

please quit your low down ways"
1962,Bob Dylan,Talkin' New York,"ramblin’ outa the wild west
 
 leavin’ the towns i love the best
 
 thought i’d seen some ups and downs
 
 ’til i come into new york town
 
 people goin’ down to the ground
 
 buildings goin’ up to the sky
 
 
 
 wintertime in new york town
 
 the wind blowin’ snow around
 
 walk around with nowhere to go
 
 somebody could freeze right to the bone
 
 i froze right to the bone
 
 new york times said it was the coldest winter in seventeen years
 
 i didn’t feel so cold then
 
 
 
 i swung onto my old guitar
 
 grabbed hold of a subway car
 
 and after a rocking, reeling, rolling ride
 
 i landed up on the downtown side
 
 greenwich village
 
 
 
 i walked down there and ended up
 
 in one of them coffee-houses on the block
 
 got on the stage to sing and play
 
 man there said, “come back some other day
 
 you sound like a hillbilly
 
 we want folk singers here”
 
 
 
 well, i got a harmonica job, begun to play
 
 blowin’ my lungs out for a dollar a day
 
 i blowed inside out and upside down
 
 the man there said he loved m’ sound
 
 he was ravin’ about how he loved m’ sound
 
 dollar a day’s worth
 
 
 
 and after weeks and weeks of hangin’ around
 
 i finally got a job in new york town
 
 in a bigger place, bigger money too
 
 even joined the union and paid m’ dues
 
 
 
 now, a very great man once said
 
 that some people rob you with a fountain pen
 
 it didn’t take too long to find out
 
 just what he was talkin’ about
 
 a lot of people don’t have much food on their table
 
 but they got a lot of forks ’n’ knives
 
 and they gotta cut somethin’
 
 
 
 so one mornin’ when the sun was warm
 
 i rambled out of new york town
 
 pulled my cap down over my eyes
 
 and headed out for the western skies
 
 so long, new york
 
 howdy, east orange"
1962,Bob Dylan,Song to Woody,"i’m out here a thousand miles from my home
 
 walkin’ a road other men have gone down
 
 i’m seein’ your world of people and things
 
 your paupers and peasants and princes and kings
 
 
 
 hey, hey, woody guthrie, i wrote you a song
 
 ’bout a funny ol’ world that’s a-comin’ along
 
 seems sick an’ it’s hungry, it’s tired an’ it’s torn
 
 it looks like it’s a-dyin’ an’ it’s hardly been born
 
 
 
 hey, woody guthrie, but i know that you know
 
 all the things that i’m a-sayin’ an’ a-many times more
 
 i’m a-singin’ you the song, but i can’t sing enough
 
 ’cause there’s not many men that done the things that you’ve done
 
 
 
 here’s to cisco an’ sonny an’ leadbelly too
 
 an’ to all the good people that traveled with you
 
 here’s to the hearts and the hands of the men
 
 that come with the dust and are gone with the wind
 
 
 
 i’m a-leavin’ tomorrow, but i could leave today
 
 somewhere down the road someday
 
 the very last thing that i’d want to do
 
 is to say i’ve been hittin’ some hard travelin’ too"
1963,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Who Killed Davey Moore?,"who killed davey moore

why an’ what’s the reason for



“not i,” says the referee

“don’t point your finger at me

i could’ve stopped it in the eighth

an’ maybe kept him from his fate

but the crowd would’ve booed, i’m sure

at not gettin’ their money’s worth

it’s too bad he had to go

but there was a pressure on me too, you know

it wasn’t me that made him fall

no, you can’t blame me at all”



who killed davey moore

why an’ what’s the reason for



“not us,” says the angry crowd

whose screams filled the arena loud

“it’s too bad he died that night

but we just like to see a fight

we didn’t mean for him t’ meet his death

we just meant to see some sweat

there ain’t nothing wrong in that

it wasn’t us that made him fall

no, you can’t blame us at all”



who killed davey moore

why an’ what’s the reason for



“not me,” says his manager

puffing on a big cigar

“it’s hard to say, it’s hard to tell

i always thought that he was well

it’s too bad for his wife an’ kids he’s dead

but if he was sick, he should’ve said

it wasn’t me that made him fall

no, you can’t blame me at all”



who killed davey moore

why an’ what’s the reason for



“not me,” says the gambling man

with his ticket stub still in his hand

“it wasn’t me that knocked him down

my hands never touched him none

i didn’t commit no ugly sin

anyway, i put money on him to win

it wasn’t me that made him fall

no, you can’t blame me at all”



who killed davey moore

why an’ what’s the reason for



“not me,” says the boxing writer

pounding print on his old typewriter

sayin’, “boxing ain’t to blame

there’s just as much danger in a football game”

sayin’, “fistfighting is here to stay

it’s just the old american way

it wasn’t me that made him fall

no, you can’t blame me at all”



who killed davey moore

why an’ what’s the reason for



“not me,” says the man whose fists

laid him low in a cloud of mist

who came here from cuba’s door

where boxing ain’t allowed no more

“i hit him, yes, it’s true

but that’s what i am paid to do

don’t say ‘murder,’ don’t say ‘kill’

it was destiny, it was god’s will”



who killed davey moore

why an’ what’s the reason for"
